"Time Stamp",ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
10296748,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
10326749,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
10376734,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
10406736,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
10456840,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
10486738,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
10536699,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
10566821,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
10616678,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
10646839,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
10696735,0000002F,false,Rx,0,5,28,32,BD,01,E6,00,00,00
10736713,0000002F,false,Rx,0,5,21,94,91,09,AF,00,00,00
10776706,0000002F,false,Rx,0,5,B1,FE,FF,00,4F,00,00,00
10816676,0000002F,false,Rx,0,5,22,F4,C0,09,1F,00,00,00
10856733,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
10887494,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
10936751,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
10966792,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
11016809,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
11046842,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
11096723,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
11126724,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
11176829,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
11206727,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
11256745,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
11286785,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
11336810,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
11366707,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
11417668,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
11446773,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
11496757,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
11526783,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
11576799,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
11606712,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
11656937,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
11686730,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
11736700,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
11766709,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
11816615,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
11846776,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
11896777,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
11926833,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
11976857,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
12006794,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
12056844,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
12086757,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
12136719,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
12166736,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
12216721,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
12246762,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
12296762,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
12326819,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
12376676,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
12406742,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
