Time [s],Channel 7
1.746478938,0
1.746522125,1
1.746687000,0
1.746728688,1
1.746998937,0
1.747042125,1
1.747207063,0
1.747246250,1
1.747727063,0
1.747763938,1
1.748142937,0
1.748184812,1
1.749286813,0
1.749328812,1
1.749910875,0
1.749953188,1
1.772388562,0
1.772434125,1
1.774816375,0
1.774857125,1
1.775024563,0
1.775064375,1
1.775232563,0
1.775271937,1
1.775440563,0
1.775479312,1
1.775648437,0
1.775689250,1
1.775960437,0
1.776002375,1
1.776272438,0
1.776314187,1
1.776688562,0
1.776726500,1
1.777318313,0
1.777361063,1
1.777527875,0
1.777568250,1
1.778053250,0
1.778092063,1
1.778576187,0
1.778617000,1
1.778996312,0
1.779035250,1
1.779205750,0
1.779243563,1
1.779728625,0
1.779772000,1
1.779938125,0
1.779979375,1
1.780358250,0
1.780396062,1
1.780985125,0
1.781028188,1
1.782141125,0
1.782180687,1
1.782874562,0
1.782917062,1
1.822206625,0
1.822250687,1
1.824650188,0
1.824691000,1
1.824858188,0
1.824899562,1
1.825066250,0
1.825106437,1
1.825274312,0
1.825312688,1
1.825482312,0
1.825521063,1
1.825794125,0
1.825836875,1
1.826106125,0
1.826149250,1
1.826418125,0
1.826458625,1
1.826626188,0
1.826665437,1
1.826938125,0
1.826979625,1
1.827146250,0
1.827186250,1
1.827666187,0
1.827705250,1
1.828082125,0
1.828125063,1
1.829225937,0
1.829269125,1
1.829746000,0
1.829789687,1
1.830058250,0
1.830097312,1
1.852447437,0
1.852491937,1
1.854867500,0
1.854910125,1
1.855075562,0
1.855113375,1
1.855283500,0
1.855324875,1
1.855491562,0
1.855531188,1
1.855699625,0
1.855738125,1
1.856011438,0
1.856053500,1
1.856323500,0
1.856364313,1
1.856739563,0
1.856779625,1
1.857246938,0
1.857290375,1
1.857453812,0
1.857494313,1
1.857970687,0
1.858010625,1
1.858384000,0
1.858427875,1
1.859521313,0
1.859563687,1
1.860348312,0
1.860391062,1
1.860658500,0
1.860701500,1
1.861382375,0
1.861421063,1
1.861795813,0
1.861836812,1
1.862312625,0
1.862354688,1
1.862519562,0
1.862559562,1
1.902367937,0
1.902412562,1
1.904795688,0
1.904836625,1
1.905003750,0
1.905044313,1
1.905211750,0
1.905252313,1
1.905419812,0
1.905460375,1
1.905627812,0
1.905665625,1
1.905665687,0
1.905667500,1
1.905939688,0
1.905983125,1
1.906251687,0
1.906292813,1
1.906563688,0
1.906604375,1
1.906771812,0
1.906811250,1
1.907083687,0
1.907124812,1
1.907395812,0
1.907436062,1
1.907811875,0
1.907849937,1
1.908227750,0
1.908267500,1
1.909371500,0
1.909414812,1
1.909579750,0
1.909621000,1
1.909995625,0
1.910037125,1
1.932361438,0
1.932406937,1
1.934781375,0
1.934821000,1
1.934989438,0
1.935030125,1
1.935197562,0
1.935237563,1
1.935405562,0
1.935443500,1
1.935613500,0
1.935653562,1
1.935925375,0
1.935967063,1
1.936237437,0
1.936279625,1
1.936653563,0
1.936692125,1
1.937283375,0
1.937323875,1
1.937597312,0
1.937635375,1
1.938015875,0
1.938055125,1
1.938433375,0
1.938472938,1
1.938745938,0
1.938787125,1
1.938954813,0
1.938995562,1
1.939581000,0
1.939622812,1
1.939789875,0
1.939826875,1
1.940310063,0
1.940349687,1
1.940726500,0
1.940769313,1
1.941878625,0
1.941916812,1
1.942297187,0
1.942336438,1
1.942505938,0
1.942544000,1
1.982171500,0
1.982216625,1
1.984607313,0
1.984648500,1
1.984815438,0
1.984853875,1
1.985023375,0
1.985062312,1
1.985231437,0
1.985270563,1
1.985439375,0
1.985479125,1
1.985751312,0
1.985791500,1
1.986063313,0
1.986103625,1
1.986375250,0
1.986415875,1
1.986583313,0
1.986624313,1
1.986999250,0
1.987040375,1
1.987519438,0
1.987556937,1
1.987727438,0
1.987765000,1
1.988247312,0
1.988288562,1
1.989391188,0
1.989433812,1
1.989807062,0
1.989851812,1
1.990015250,0
1.990055125,1
1.990055188,0
1.990056375,1
2.012420437,0
2.012462375,1
2.014840375,0
2.014879437,1
2.015048437,0
2.015086625,1
2.015256438,0
2.015297250,1
2.015464500,0
2.015504250,1
2.015672438,0
2.015713375,1
2.015984375,0
2.016026250,1
2.016296375,0
2.016334688,1
2.016334750,0
2.016337000,1
2.016712437,0
2.016752125,1
2.017235187,0
2.017275875,1
2.017759563,0
2.017798000,1
2.017968750,0
2.018008562,1
2.018387125,0
2.018427062,1
2.018701437,0
2.018740812,1
2.018910750,0
2.018949313,1
2.019746250,0
2.019787937,1
2.019955500,0
2.019995625,1
2.021001313,0
2.021044125,1
2.022362437,0
2.022403938,1
2.022675813,0
2.022716687,1
2.022885000,0
2.022925187,1
2.062293562,0
2.062337938,1
2.064713500,0
2.064754563,1
2.064921562,0
2.064961500,1
2.065129625,0
2.065168875,1
2.065337562,0
2.065378250,1
2.065545563,0
2.065584375,1
2.065857500,0
2.065897062,1
2.066169438,0
2.066211375,1
2.066481437,0
2.066524063,1
2.066689500,0
2.066730812,1
2.067001438,0
2.067044375,1
2.067209500,0
2.067251437,1
2.067729625,0
2.067768250,1
2.068145375,0
2.068185375,1
2.069289313,0
2.069331562,1
2.069913313,0
2.069958563,1
2.092414750,0
2.092460187,1
2.094850437,0
2.094892125,1
2.095058563,0
2.095097500,1
2.095266500,0
2.095305625,1
2.095474563,0
2.095513375,1
2.095682562,0
2.095721250,1
2.095994500,0
2.096034750,1
2.096306438,0
2.096347875,1
2.096722625,0
2.096760312,1
2.097252563,0
2.097294188,1
2.097462062,0
2.097503062,1
2.097987375,0
2.098026000,1
2.098510375,0
2.098551000,1
2.098930563,0
2.098971437,1
2.099140000,0
2.099178625,1
2.099662938,0
2.099705500,1
2.099872562,0
2.099911500,1
2.100292562,0
2.100331875,1
2.100919687,0
2.100961750,1
2.102283938,0
2.102326875,1
2.103017625,0
2.103058625,1
2.142303688,0
2.142347125,1
2.144731437,0
2.144773500,1
2.144939562,0
2.144979312,1
2.145147437,0
2.145189188,1
2.145355562,0
2.145394625,1
2.145563563,0
2.145602563,1
2.145875437,0
2.145917125,1
2.146187438,0
2.146229625,1
2.146499438,0
2.146540938,1
2.146707437,0
2.146748563,1
2.147019438,0
2.147060063,1
2.147227500,0
2.147268625,1
2.147747438,0
2.147788125,1
2.148163312,0
2.148207750,1
2.149307187,0
2.149351812,1
2.149827312,0
2.149870375,1
2.150139438,0
2.150178813,1
2.172456375,0
2.172500312,1
2.174884125,0
2.174924813,1
2.175092312,0
2.175131188,1
2.175300250,0
2.175339312,1
2.175508250,0
2.175547562,1
2.175716187,0
2.175752375,1
2.175752437,0
2.175754375,1
2.176028188,0
2.176068562,1
2.176340188,0
2.176381313,1
2.176756250,0
2.176794750,1
2.177319812,0
2.177361500,1
2.177526625,0
2.177565187,1
2.178043500,0
2.178084563,1
2.178457000,0
2.178499062,1
2.179594250,0
2.179634562,1
2.180421187,0
2.180463250,1
2.180731312,0
2.180773875,1
2.181455188,0
2.181494812,1
2.181868688,0
2.181910188,1
2.182385500,0
2.182426813,1
2.182592313,0
2.182633500,1
2.222170312,0
2.222215125,1
2.224598063,0
2.224640750,1
2.224806188,0
2.224845625,1
2.225014187,0
2.225055188,1
2.225222250,0
2.225261875,1
2.225430250,0
2.225469125,1
2.225742125,0
2.225784000,1
2.226054187,0
2.226094188,1
2.226366125,0
2.226407625,1
2.226574187,0
2.226614188,1
2.226886125,0
2.226925813,1
2.227198187,0
2.227238187,1
2.227614313,0
2.227653313,1
2.228030062,0
2.228071063,1
2.229173875,0
2.229218687,1
2.229382188,0
2.229421875,1
2.229798063,0
2.229839312,1
2.252332562,0
2.252375812,1
2.254752500,0
2.254793375,1
2.254960625,0
2.254999188,1
2.255168563,0
2.255207813,1
2.255376562,0
2.255415875,1
2.255584500,0
2.255624375,1
2.255896500,0
2.255935688,1
2.256208438,0
2.256249125,1
2.256624562,0
2.256663313,1
2.257152188,0
2.257191938,1
2.257466062,0
2.257503625,1
2.257884625,0
2.257922188,1
2.258302125,0
2.258342250,1
2.258342312,0
2.258344125,1
2.258614750,0
2.258656812,1
2.258823625,0
2.258864000,1
2.259449875,0
2.259490937,1
2.259658750,0
2.259697688,1
2.260179000,0
2.260220875,1
2.260595500,0
2.260638563,1
2.261747625,0
2.261787062,1
2.262166313,0
2.262202875,1
2.262375062,0
2.262414375,1
2.302349062,0
2.302392125,1
2.304792562,0
2.304834750,1
2.305000625,0
2.305042812,1
2.305208687,0
2.305249312,1
2.305416688,0
2.305455063,1
2.305624687,0
2.305663688,1
2.305936562,0
2.305979500,1
2.306248500,0
2.306292500,1
2.306560563,0
2.306602375,1
2.306768625,0
2.306807750,1
2.307184500,0
2.307228813,1
2.307704625,0
2.307744625,1
2.307912625,0
2.307951125,1
2.308328562,0
2.308368563,1
2.309472375,0
2.309516375,1
2.309888438,0
2.309931625,1
2.310096500,0
2.310139000,1
2.332334813,0
2.332379813,1
2.334754625,0
2.334793250,1
2.334793312,0
2.334794437,1
2.334962750,0
2.335001875,1
2.335170812,0
2.335209312,1
2.335378625,0
2.335417562,1
2.335586750,0
2.335626688,1
2.335898625,0
2.335941813,1
2.336210625,0
2.336251875,1
2.336626813,0
2.336665625,1
2.337361250,0
2.337404063,1
2.337884500,0
2.337923688,1
2.338093687,0
2.338133563,1
2.338616062,0
2.338657688,1
2.339346562,0
2.339389750,1
2.339869063,0
2.339910750,1
2.340078375,0
2.340116562,1
2.341228062,0
2.341268938,1
2.342485125,0
2.342526187,1
2.342902500,0
2.342944563,1
2.343111813,0
2.343152063,1
2.382335500,0
2.382379625,1
2.384755375,0
2.384795688,1
2.384963438,0
2.385002750,1
2.385171563,0
2.385209563,1
2.385379438,0
2.385418125,1
2.385587500,0
2.385628000,1
2.385899437,0
2.385940063,1
2.386211375,0
2.386250375,1
2.386250438,0
2.386252563,1
2.386523313,0
2.386566375,1
2.386731500,0
2.386771187,1
2.387043375,0
2.387084125,1
2.387251375,0
2.387291625,1
2.387771438,0
2.387810937,1
2.388187375,0
2.388229000,1
2.389331250,0
2.389372625,1
2.389955188,0
2.390000188,1
2.412281812,0
2.412324000,1
2.414701750,0
2.414741812,1
2.414909875,0
2.414948875,1
2.415117813,0
2.415156562,1
2.415325812,0
2.415366125,1
2.415533813,0
2.415574438,1
2.415845688,0
